Area,Location,No. of Bedrooms,Resale
1340,Nizampet,2,0
3498,Hitech City,4,0
1318,Manikonda,2,0
1295,Alwal,3,1
1145,Kukatpally,2,0
1230,Nizampet,2,0
1350,Manikonda,2,0
1400,Gachibowli,3,0
2240,Tellapur,3,0
1520,Gachibowli,2,1
1535,Kokapet,3,0
1150,Hyder Nagar,2,0
1285,Mehdipatnam,2,0
1897,Tellapur,3,1
1725,Narsingi,3,0
1665,Khajaguda Nanakramguda Road,3,1
1592,Kukatpally,3,0
1150,Madhapur,2,0
2240,Tellapur,3,0
1050,Puppalaguda,3,0
1340,Nizampet,2,0
3498,Hitech City,4,0
1318,Manikonda,2,0
1295,Alwal,3,1
1145,Kukatpally,2,0
1230,Nizampet,2,0
1350,Manikonda,2,0
1400,Gachibowli,3,0
2240,Tellapur,3,0
1520,Gachibowli,2,1
1535,Kokapet,3,0
1150,Hyder Nagar,2,0
1285,Mehdipatnam,2,0
1897,Tellapur,3,1
1725,Narsingi,3,0
1665,Khajaguda Nanakramguda Road,3,1
1592,Kukatpally,3,0
1150,Madhapur,2,0
2240,Tellapur,3,0
1050,Puppalaguda,3,0
1735,Puppalaguda,3,0
2800,Narsingi,3,0
1050,Begumpet,2,1
1230,Kukatpally,2,0
1175,Nizampet,2,0
1190,Nizampet,2,0
2956,Banjara Hills,4,1
680,AS Rao Nagar,2,1
1350,Pragathi Nagar Kukatpally,2,0
1970,Miyapur,3,1
1105,Mallampet,2,0
2005,Nanakramguda,3,1
1105,Mallampet,2,0
1406,Attapur,3,0
1545,Alwal,3,0
1495,Nanakramguda,3,0
1300,West Marredpally,3,1
1200,Nizampet,2,0
1450,Hitech City,3,1
1450,Banjara Hills,3,1
1912,Narsingi,3,0
1850,Manikonda,3,0
1300,Puppalaguda,3,0
1674,Kompally,3,1
1242,Sri Nagar Colony,3,1
850,Hakimpet,2,1
1895,Pocharam,3,1
1636,Nagole,3,0
1076,LB Nagar,2,1
1080,Meerpet,2,1
2100,Kachiguda,3,1
1265,Manikonda,2,0
1300,Masab Tank,3,0
1089,Miyapur,2,0
1400,Kondapur,2,0
850,Saroornagar,2,0
1100,Nizampet,2,0
1700,Uppal Kalan,3,1
2150,Tellapur,3,0
1195,Mallapur,2,1
1105,Miyapur,2,0
1205,Manikonda,2,0
1250,Rajendra Nagar,3,0
1340,Puppalaguda,2,0
950,Beeramguda,2,0
1100,Moosapet,2,0
1908,Kondapur,3,0
1675,Bachupally,3,0
1420,Toli Chowki,3,0
1535,Kokapet,3,0
910,Nanakramguda,2,0
1325,Lakdikapul,3,1
1717,Tarnaka,3,0
2400,West Marredpally,3,1
1150,Kondapur,2,0
1000,Toli Chowki,3,0
1200,Kistareddypet,2,0
1040,Pragathi Nagar Kukatpally,2,0
1181,Hafeezpet,2,0
2100,Kompally,3,0
1550,Shaikpet,3,0
1280,Amberpet,3,0
1945,Kokapet,3,0
3500,Hitech City,4,1
1000,Nagole,2,1
1200,Miyapur,2,1
2729,Gachibowli,4,0
1500,AS Rao Nagar,3,0
2165,Banjara Hills,3,0
1050,Kapra,2,1
1150,Bachupally,2,0
1822,West Marredpally,3,1
1270,Puppalaguda,1,0
1300,Trimalgherry,1,1
1600,Habsiguda,3,1
1818,Sanath Nagar,3,1
1282,Darga Khaliz Khan,2,0
1830,Manikonda,3,0
1815,Kokapet,3,0
1400,Puppalaguda,1,0
1220,Nizampet,2,0
1650,Nizampet,3,0
1680,Nizampet,3,0
1555,Nizampet,3,0
1685,Nizampet,3,0
1520,Nizampet,3,0
1225,Nizampet,2,0
1795,Nizampet,3,0
1435,Nizampet,2,0
1430,Nizampet,2,0
1265,Nizampet,2,0
2080,Manikonda,3,0
2092,Manikonda,3,0
1370,Manikonda,2,0
2232,Manikonda,3,0
2063,Manikonda,3,0
1400,Manikonda,2,0
1865,Manikonda,3,0
2270,Manikonda,3,0
1896,Manikonda,3,0
3031,Hitech City,4,0
1702,Manikonda,3,0
1350,Manikonda,2,0
1525,Manikonda,3,0
1225,Manikonda,2,0
1728,Manikonda,3,0
1725,Manikonda,3,0
1300,Manikonda,2,0
1600,Manikonda,3,0
1200,Manikonda,2,0
1640,Kothaguda,3,1
1830,Kompally,3,0
1835,Kompally,3,0
1570,Tellapur,3,0
1570,Tellapur,3,0
2240,Tellapur,3,0
2240,Tellapur,3,0
1895,Sanath Nagar,3,0
1600,Manikonda,3,1
1140,Kukatpally,2,0
1150,Kukatpally,2,0
1530,Kukatpally,3,0
1230,Nizampet,2,0
1300,Manikonda,2,0
1050,Gachibowli,2,0
1665,Gachibowli,3,0
1250,Gachibowli,2,0
1250,Gachibowli,2,0
1900,Gachibowli,3,0
1900,Gachibowli,3,0
1815,Gachibowli,2,0
1250,Gachibowli,2,0
1530,Moosapet,3,0
1530,Balanagar,3,0
1535,Kokapet,3,0
3380,Kokapet,4,0
3380,Kokapet,4,0
1875,Kokapet,3,0
1875,Kokapet,3,0
2540,Kokapet,3,0
2540,Kokapet,3,0
2630,Kokapet,4,0
2630,Kokapet,4,0
4500,Jubilee Hills,4,1
3380,Kokapet,4,1
2700,Manikonda,3,0
1792,Tellapur,3,1
